name,smiles,cas,current_D_exp_eV,current_source,CCCBDB_Hfg_kjmol,CCCBDB_convention,CCCBDB_D_at_eV,diff_pct,ATcT_url,NIST_url,CCCBDB_url
CaO,[Ca]=O,1305-78-8,4.695,JANAF,38.01,298K,4.0314,-14.13,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=1305-78-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=1305788&charge=0
Al2,[Al]=[Al],32752-94-6,1.55,HH,525.9,0K,1.3339,-13.94,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=32752-94-6&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=32752946&charge=0
Bromofluoromethane,C(F)Br,373-52-4,15.8576,ATcT_0K,0.12,0K,13.8707,-12.53,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=373-52-4&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=373524&charge=0
SiF3H,F[SiH](F)F,13465-71-9,19.658,JANAF,-1200.81,298K,21.837,11.08,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=13465-71-9&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=13465719&charge=0
KH,[K][H],7693-26-7,1.76,HH,123.01,298K,1.9069,8.35,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=7693-26-7&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=7693267&charge=0
thioformaldehyde,C=S,865-36-1,14.694,NIST,114.7,298K,13.6305,-7.24,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=865-36-1&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=865361&charge=0
CS2,S=C=S,75-15-0,11.09,NIST,115.91,0K,11.8683,7.02,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=75-15-0&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=75150&charge=0
BF2H,FB(F),13709-83-6,16.176,JANAF,-736.0,0K,17.2724,6.78,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=13709-83-6&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=13709836&charge=0
Buckminsterfullerene,C12=C3C4=C5C6=C1C7=C8C9=C1C%10=C%11C(=C29)C3=C2C3=C4C4=C5C5=C9C6=C7C6=C7C8=C1C1=C8C%10=C%10C%11=C2C2=C3C3=C4C4=C5C5=C%11C%12=C(C6=C95)C7=C1C1=C%12C5=C%11C4=C3C3=C5C(=C81)C%10=C23,99685-96-8,416.2342,ATcT_0K,13.0,0K,442.1232,6.22,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=99685-96-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=99685968&charge=0
1_2_4_Cyclohexatriene,C1C=CC=C=C1,71-43-2,53.3265,ATcT_0K,100.4,0K,56.6194,6.17,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=71-43-2&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=71432&charge=0
Methylene,[CH2],2465-56-7,7.408,ATcT_0K,390.7,0K,7.7997,5.29,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=2465-56-7&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=2465567&charge=0
BF2Cl,FB(F)Cl,14720-30-0,17.071,JANAF,-885.33,298K,17.9342,5.06,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=14720-30-0&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=14720300&charge=0
3_4_Bis_methylene_cyclobutene,C=C1C=CC1=C,71-43-2,53.9888,ATcT_0K,100.4,0K,56.6194,4.87,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=71-43-2&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=71432&charge=0
S2F10,FS(F)(F)(F)(F)S(F)(F)(F)(F)F,5714-22-7,35.375,Gurvich,-1903.0,298K,33.6957,-4.75,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=5714-22-7&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=5714227&charge=0
IF5,F[I](F)(F)(F)F,7783-66-6,13.745,JANAF,-881.99,298K,14.3621,4.49,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=7783-66-6&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=7783666&charge=0
NaH,[Na][H],7646-69-7,1.97,HH,126.21,0K,2.0451,3.81,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=7646-69-7&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=7646697&charge=0
POCl3,ClP(Cl)(Cl)=O,10025-87-3,14.78,NIST,-554.2,0K,15.3014,3.53,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=10025-87-3&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=10025873&charge=0
3-methylthiophene,Cc1ccsc1,616-44-4,54.973,NIST,0.92,0K,53.1288,-3.35,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=616-44-4&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=616444&charge=0
2-methylthiophene,Cc1cccs1,554-14-3,54.963,NIST,0.92,0K,53.1288,-3.34,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=554-14-3&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=554143&charge=0
PCl5,Cl[P](Cl)(Cl)(Cl)Cl,10026-13-8,12.76,NIST,-354.72,0K,13.1551,3.1,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=10026-13-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=10026138&charge=0
BrCl,ClBr,13863-41-7,2.173,ATcT_0K,22.23,0K,2.2316,2.7,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=13863-41-7&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=13863417&charge=0
"1,2,4-triazole",C1=NNC=N1,288-88-0,35.201,NIST,192.7,298K,34.3337,-2.46,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=288-88-0&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=288880&charge=0
SiF,[Si]F,11128-24-8,5.57,HH,-27.06,0K,5.7036,2.4,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=11128-24-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=11128248&charge=0
CH3F,CF,593-53-3,18.1,ATcT,-255.0,298K,17.6716,-2.37,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=593-53-3&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=593533&charge=0
BCl,[B]Cl,20583-55-5,5.17,HH,169.53,0K,5.2867,2.26,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=20583-55-5&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=20583555&charge=0
AlH,[Al][H],13967-22-1,2.98,HH,249.36,0K,3.0468,2.24,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=13967-22-1&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=13967221&charge=0
CCl4mol,ClC(Cl)(Cl)Cl,56-23-5,13.01,NIST,-93.35,0K,13.2976,2.21,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=56-23-5&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=56235&charge=0
urea,NC(N)=O,57-13-6,31.97,NIST,-237.1,298K,31.3033,-2.08,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=57-13-6&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=57136&charge=0
2-methylpyridine,Cc1ccccn1,109-06-8,64.254,NIST,-26.5,298K,65.5566,2.03,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=109-06-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=109068&charge=0
2-methylpyridine,CC1=CC=CC=N1,109-06-8,64.254,NIST,-26.5,298K,65.5566,2.03,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=109-06-8&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=109068&charge=0
Acetone_enol,CC(=C)O,29456-04-0,39.6181,ATcT_0K,-38.0,298K,38.8163,-2.02,https://atct.anl.gov/Thermochemical%20Data/version%201.130/index.php,https://webbook.nist.gov/cgi/cbook.cgi?ID=29456-04-0&Units=SI,https://cccbdb.nist.gov/exp2x.asp?casno=29456040&charge=0
